,입찰명,발주기관코드,발주기관,5종_Pick,5종_Remove,7종_Pick,7종_Remove
0,유실지뢰제거 굴삭기 방탄탑(보강)자재 설치 납품,LMG,제6군단사령부,지뢰,,굴삭기,
1,지뢰방호차량 배터리 구매,LKP,5군수지원사령부,지뢰,,차량,
2,탄피 방출통 조립체(40미리함포 부품),EGC,함정계약팀 (구:19.09.16),탄피,,함포,
3,탄피 방출통 조립체(40미리함포 부품),EGC,함정계약팀 (구:19.09.16),탄피,,함포,
4,탄피 방출통 조립체(40미리함포 부품),EGC,함정계약팀 (구:19.09.16),탄피,,함포,
5,탄피 방출통 조립체(40미리함포 부품),EGC,함정계약팀 (구:19.09.16),탄피,,함포,
6,탄피 방출통 조립체(40미리함포 부품),EGC,함정계약팀 (구:19.09.16),탄피,,함포,
7,탄피 방출통 조립체(40미리함포 부품),EGC,함정계약팀 (구:19.09.16),탄피,,함포,
8,K-3기관총 탄피받이 구매,UMM,국군재정관리단,탄피,,기관총,
9,영상편집시스템(REDSUN HD-C40) 등 3종,SCK,해군교육사령부,C4,,시스템,
10,지뢰제거작전 보호의 등 장비구매,LRC,제7862부대,지뢰,,장비,
11,중대전차지뢰 목상자 등 2종 제조,LDG,육군 탄약지원사령부,"대전차지뢰, 지뢰",,전차,
12,탄두회수장치 구매 설치,SCK,해군교육사령부,탄두,,장치,
13,"탄피받이, 기가폰 구매",LHM,제15보병사단,탄피,,기가폰,
14,지뢰탐지기 부품(구매),EHA,일반장비계약팀 (구:19.09.16),지뢰,,탐지기,
15,지뢰탐지기 부품(구매),EHA,일반장비계약팀 (구:19.09.16),지뢰,,탐지기,
16,지뢰탐지기 부품(구매),EHA,일반장비계약팀 (구:19.09.16),지뢰,,탐지기,
17,지뢰탐지기 부품(구매),EHA,일반장비계약팀 (구:19.09.16),지뢰,,탐지기,
18,지뢰탐지기 부품(구매),EHA,일반장비계약팀 (구:19.09.16),지뢰,,탐지기,
19,지뢰탐지기 부품(구매),EHA,일반장비계약팀 (구:19.09.16),지뢰,,탐지기,
20,지뢰탐지기 부품(구매),EHA,일반장비계약팀 (구:19.09.16),지뢰,,탐지기,
21,지뢰탐지기 부품(구매),EHA,일반장비계약팀 (구:19.09.16),지뢰,,탐지기,
22,탄두회수장치 제조설치 납품,LCK,수도방위사령부,탄두,,장치,
23,탄피 방출통 조립체(40미리함포 부품),EGC,함정계약팀 (구:19.09.16),탄피,,함포,
24,탄피 방출통 조립체(40미리함포 부품),EGC,함정계약팀 (구:19.09.16),탄피,,함포,
25,탄피 방출통 조립체(40미리함포 부품),EGC,함정계약팀 (구:19.09.16),탄피,,함포,
26,탄피 방출통 조립체(40미리함포 부품),EGC,함정계약팀 (구:19.09.16),탄피,,함포,
27,탄피 방출통 조립체(40미리함포 부품),EGC,함정계약팀 (구:19.09.16),탄피,,함포,
28,탄피 방출통 조립체(40미리함포 부품),EGC,함정계약팀 (구:19.09.16),탄피,,함포,
29,"절단기, 케이블용, 기뢰용 10EA",SCF,해군군수사령부,기뢰,,절단기,
30,지뢰탐지장비 등 7종 구매,LPG,제5보병사단,지뢰,,장비,
31,지뢰탐지장비 등 3종 구매,LNG,육군 제1군단,지뢰,,장비,
32,탄두회수장치 고무블럭 TYPE 제조설치,UMM,국군재정관리단,탄두,,장치,
33,탄두회수장치 제조설치납품,SDG,제2002부대,탄두,,장치,
34,"지뢰탐지기 헤드세트,음향용 등 6항목 구매",LCF,육군군수사령부,지뢰,,탐지기,
35,18년 105밀리 대전차 고폭예광탄 등 목상자,EGG,유도무기계약팀 (구:19.09.16),예광탄,,전차,
36,지뢰탐지기 부품(구매),EHA,일반장비계약팀 (구:19.09.16),지뢰,,탐지기,
37,지뢰탐지기 부품(구매),EHA,일반장비계약팀 (구:19.09.16),지뢰,,탐지기,
38,지뢰탐지기 부품(구매),EHA,일반장비계약팀 (구:19.09.16),지뢰,,탐지기,
39,지뢰탐지기 부품(구매),EHA,일반장비계약팀 (구:19.09.16),지뢰,,탐지기,
40,지뢰탐지기 부품(구매),EHA,일반장비계약팀 (구:19.09.16),지뢰,,탐지기,
41,지뢰탐지기 부품(구매),EHA,일반장비계약팀 (구:19.09.16),지뢰,,탐지기,
42,지뢰탐지기 부품(구매),EHA,일반장비계약팀 (구:19.09.16),지뢰,,탐지기,
43,지뢰탐지기 부품(구매),EHA,일반장비계약팀 (구:19.09.16),지뢰,,탐지기,
44,탄피 방출통 조립체(40미리함포 부품),EGC,함정계약팀 (구:19.09.16),탄피,,함포,
45,탄피 방출통 조립체(40미리함포 부품),EGC,함정계약팀 (구:19.09.16),탄피,,함포,
46,탄피 방출통 조립체(40미리함포 부품),EGC,함정계약팀 (구:19.09.16),탄피,,함포,
