,입찰명,발주기관코드,발주기관,2종_Pick,2종_Remove,3종_Pick,3종_Remove
0,전산소모품 구매,MDG,국군의무사령부,"소모품, 전산",,산소,
1,전산소모품 구매,MDG,국군의무사령부,"소모품, 전산",,산소,
2,실린더 해드 가스켓 등 32종 구매(연평도 납품),SFN,연평부대,실린더,,가스,
3,전산소모품 구매(토너 등),MCT,국군체육부대,"소모품, 전산, 토너",,산소,
4,복사기 토너/드럼 16종 구매,SCP,제8385부대,"복사, 토너",,드럼,
5,"유류탱크 신축 이너겐 소화설비 제조, 설치",HDK,공군제11전투비행단,소화,,유류탱크,
6,드럼받침대 구매,SFM,제3170부대,침대,,드럼,
7,3/4분기 전산소모품 구매,LKP,5군수지원사령부,"소모품, 전산",,산소,
8,드럼 의자 등 5종 구매,MCS,국방부계룡대근무지원단,의자,,드럼,
9,전산소모품 구매,MCL,국방정보본부,"소모품, 전산",,산소,
10,전산소모품 구매,MCL,국방정보본부,"소모품, 전산",,산소,
11,전산운영용품 구매(토너/드럼),MCN,국방부근무지원단,"전산, 토너",,드럼,
12,ML-8900N토너/드럼(슈퍼재생)등 9항목 제조(물자),LCF,육군군수사령부,토너,,드럼,
13,전산소모품(스캐너 등 00종) 구매,LKP,5군수지원사령부,"소모품, 전산",,산소,
14,(16-155)취사기구(가스자동취반기외 6품목),HDM,공군제17전투비행단,취사기구,,가스,
15,프린터 드럼 등 311종,SCU,해군 기동함대사령부,프린터,,드럼,
16,화생방 연구 재료 가스 구매,MDN,국군화생방방호사령부,화생방,,가스,
17,알곤가스 등 6종 구매(공병검사비 포함),SCP,제8385부대,공병,,가스,
18,알곤가스 등 6종 구매(공병검사비 포함),SCP,제8385부대,공병,,가스,
19,알곤가스 등 6종 구매(공병검사비 포함),SCP,제8385부대,공병,,가스,
20,아산화질소 1항목 구매(물품),LCF,육군군수사령부,물품,,질소,
21,1/4분기 흑백토너(SL-3320ND) 등 전산소모품 구매,LFK,육군종합군수학교,"소모품, 전산, 토너",,산소,
22,LBP-6535K 토너/드럼(슈퍼재생) 등 7항목 제조,LCF,육군군수사령부,토너,,드럼,
23,장비운영소모품 의료가스 구매,MDD,국군수도병원,소모품,,가스,
24,복사기드럼 등 10종,SCG,해군본부,복사,,드럼,
25,17-11차 전산소모품 구매(17-12차통합),LHN,제7보병사단,"소모품, 전산",,산소,
26,전산소모품(토너 등 88종) 구매,HCF,공군군수사령부,"소모품, 전산, 토너",,산소,
27,인쇄기 드럼(CT351050) 등 23품목 구매,SFC,제9691부대,인쇄,,드럼,
28,17-9차 전산소모품 구매,LHN,제7보병사단,"소모품, 전산",,산소,
29,17-7차 전산소모품 구매,LHN,제7보병사단,"소모품, 전산",,산소,
30,1A부대 전산소모품 구매,LQP,제1891부대,"소모품, 전산",,산소,
31,17-5차 전산소모품 구매,LHN,제7보병사단,"소모품, 전산",,산소,
32,17-4차 전산소모품 구매,LHN,제7보병사단,"소모품, 전산",,산소,
33,17-3차 일반 및 의무비품(산소유량계 등 10품목) 구매,MDG,국군의무사령부,비품,,산소,
34,뚜껑 밸브용 가스실린더 배출구용 4EA,SCF,해군군수사령부,실린더,,가스,
35,에어컨가스 자동주입기 등 15품목 구매,SEE,제9해병여단,에어컨,,가스,
36,알곤가스 등 6종 구매(공병검사비 포함),SCP,제8385부대,공병,,가스,
37,알곤가스 등 6종 구매(공병검사비 포함),SCP,제8385부대,공병,,가스,
38,알곤가스 등 6종 구매(공병검사비 포함),SCP,제8385부대,공병,,가스,
39,'18년도 4분기 전산소모품 구매,MHD,방위사업청(운영지원과),"소모품, 전산",,산소,
40,악기(셋트드럼 등 4종),HCF,공군군수사령부,악기,,드럼,
41,사이버지식정보방 전산소모품 구매,LHN,제7보병사단,"소모품, 전산",,산소,
42,'18-10차 일반비품(자동주유기 단식) 구매,MDG,국군의무사령부,비품,,주유기,
43,드럼세탁기 등 3종,SCH,해군작전사령부,세탁기,,드럼,
44,지형분석실 전산소모품 구매,LGS,육군 제8군단,"소모품, 전산",,산소,
45,가스온수기 등 5건 구매,LFC,육군훈련소,온수기,,가스,
46,가스온수기 및 보일러 구매,LFC,육군훈련소,온수기,,가스,
47,18-1차 전산소모품 구매,MCK,국방전산정보원,"소모품, 전산",,산소,
48,18-1차 전산소모품 구매,MCK,국방전산정보원,"소모품, 전산",,산소,
49,침대가스쇼바 수선등 2종,SCF,해군군수사령부,침대,,가스,
50,드럼세탁기 등 3품목 구매 납품,SFD,제9227부대,세탁기,,드럼,
51,취사기구(가스렌지등 70종) 구매,MDR,제9965부대,취사기구,,가스,
52,전산소모품,HCF,공군군수사령부,"소모품, 전산",,산소,
53,전산소모품,HCF,공군군수사령부,"소모품, 전산",,산소,
54,전산소모품,HCF,공군군수사령부,"소모품, 전산",,산소,
55,전산소모품,HCF,공군군수사령부,"소모품, 전산",,산소,
56,18-2차 전산소모품 구매,LHN,제7보병사단,"소모품, 전산",,산소,
57,"18-021,18-025 전산소모품 구매",HFD,공군제38전투비행전대,"소모품, 전산",,산소,
58,알곤가스 등 6종 구매(공병검사비 포함),SCP,제8385부대,공병,,가스,
59,알곤가스 등 6종 구매(공병검사비 포함),SCP,제8385부대,공병,,가스,
60,알곤가스 등 6종 구매(공병검사비 포함),SCP,제8385부대,공병,,가스,
61,정품토너 및 드럼 구매,MCN,국방부근무지원단,토너,,드럼,
62,별걸이형 드럼세탁기 등 2종,SCH,해군작전사령부,세탁기,,드럼,
63,18-1차 전산소모품 구매,LHN,제7보병사단,"소모품, 전산",,산소,
64,18-1차 전산소모품 구매,LHN,제7보병사단,"소모품, 전산",,산소,
65,"뚜껑, 밸브용, 가스실린더 배출구용 32EA",SCF,해군군수사령부,실린더,,가스,
66,프린터드럼 등 24종 구매,UAZ,합동군사대학교,프린터,,드럼,
67,드럼세탁기 등 8종,SCH,해군작전사령부,세탁기,,드럼,
68,드럼세탁기,SCN,제7001부대,세탁기,,드럼,
69,"19-3차, 10차 전산소모품 구매",LHN,제7보병사단,"소모품, 전산",,산소,
70,아세틸렌 실린더 구매,SCQ,제9911부대,실린더,,아세틸렌,
71,19-8차 전산소모품 구매,LHN,제7보병사단,"소모품, 전산",,산소,
72,드럼세탁기 구매,SCQ,제9911부대,세탁기,,드럼,
73,드럼세탁기 구매,SCQ,제9911부대,세탁기,,드럼,
74,프린터드럼 등 37종 구매,UAZ,합동군사대학교,프린터,,드럼,
75,프린터 드럼 등 31종,UAZ,합동군사대학교,프린터,,드럼,
76,프린터 드럼 등 31종,UAZ,합동군사대학교,프린터,,드럼,
77,"세탁기 2종(드럼, 통돌이) 설치납품",MCS,국방부계룡대근무지원단,세탁기,,드럼,
78,전산운영용품(토너/드럼)구매,MCN,국방부근무지원단,"전산, 토너",,드럼,
79,프린터 드럼 등 31종,UAZ,합동군사대학교,프린터,,드럼,
80,프린터 드럼 등 31종,UAZ,합동군사대학교,프린터,,드럼,
81,19년 병리장비소모품(13) 혈액가스분석기 구매,MDD,국군수도병원,소모품,,가스,
82,산소포화도 측정기 1품목 구매(물품)(20196018-A),UMM,국군재정관리단,물품,,산소,
83,산소호흡기 1품목 품목(물품),LCF,육군군수사령부,물품,,산소,
84,악기(오션드럼 등 24종)구매,MCN,국방부근무지원단,악기,,드럼,
85,디지털 인쇄기 드럼 등 20종 구매,SCK,해군교육사령부,인쇄,,드럼,
86,"00부대 비품(세탁기, 가스렌지) 구매",LGI,제3군수지원여단,"비품, 세탁기",,가스,
87,20-보급창 앞산 유류탱크 소화펌프 구매(208142-I),UMM,국군재정관리단,소화,,유류탱크,
88,"20년 방역대책물품 구매(방역소독제, 손소독제)",LKF,제6755부대,물품,,소독제,
89,실린더 헤드 가스켓 등 6종,SCF,해군군수사령부,실린더,,가스,
90,프린터 드럼 구매,MCN,국방부근무지원단,프린터,,드럼,
91,컬러인쇄기 소모품 및 부품(드럼유닛 등 6품목),HCG,공군본부,"소모품, 인쇄",,드럼,
92,드럼세탁기 구매,SDF,제5738부대,세탁기,,드럼,
93,드럼세탁기 구매,SDF,제5738부대,세탁기,,드럼,
94,"실린더, 압축가스용 등 3종 구매",SCF,해군군수사령부,실린더,,가스,
95,"다기관,충전용,가스실린더용 1항목 제조(일장,생능)",LCF,육군군수사령부,실린더,,가스,
96,전산소모품(초음파탐상기용 토너 등 67종) 구매,LDH,육군종합정비창,"소모품, 전산, 토너",,산소,
97,00부대 인쇄재료(잉크 및 드럼) 구매,DSS,국군제1068부대,인쇄,,드럼,
98,독신숙소 드럼세탁기 등 2개품목 설치납품,LPN,수도군단,세탁기,,드럼,
99,실린더 헤드 가스켓 등 50종,SCR,해군제3함대사령부,실린더,,가스,
100,산소포화도 측정기 1품목 구매(물품),LCF,육군군수사령부,물품,,산소,
101,"간부숙소 가스레인지 구매, 에어컨 구매 설치",MCX,자운대근무지원연대,에어컨,,가스,
102,"그리스,와이어로프-노출기어용 1종",SCF,해군군수사령부,로프,,그리스,
103,교육사 도시가스 인입공사 보일러 제조(D형),SCK,해군교육사령부,교육,,가스,
104,교육사 도시가스 인입공사 보일러 제조(B형),SCK,해군교육사령부,교육,,가스,
105,"에어컨가스 회수,충전기 1종 구매",SCF,해군군수사령부,에어컨,,가스,
106,3분기 전산소모품 및 지형측지반 전산용품 구매,LGS,육군 제8군단,"소모품, 전산",,산소,
107,21년 3분기 전산소모품 구매,LQP,제1891부대,"소모품, 전산",,산소,
108,(화공) 하론소화약제가스 구매,LDH,육군종합정비창,소화,,가스,
109,(화공) 하론소화약제가스 구매,LDH,육군종합정비창,소화,,가스,
110,(화공) 하론소화약제가스 구매,LDH,육군종합정비창,소화,,가스,
111,(화공) 하론소화약제가스 구매,LDH,육군종합정비창,소화,,가스,
112,(화공) 하론소화약제가스 구매,LDH,육군종합정비창,소화,,가스,
113,(화공) 하론소화약제가스 구매,LDH,육군종합정비창,소화,,가스,
114,(화공) 하론소화약제가스 구매,LDH,육군종합정비창,소화,,가스,
115,(화공) 하론소화약제가스 구매,LDH,육군종합정비창,소화,,가스,
116,(화공) 하론소화약제가스 구매,LDH,육군종합정비창,소화,,가스,
117,(화공) 하론소화약제가스 구매,LDH,육군종합정비창,소화,,가스,
118,'21년 사이버지식정보방용 전산소모품 구매,LBA,제 2167부대,"소모품, 전산",,산소,
119,사이버지식정보방 전산소모품,LGP,제1군수지원사령부,"소모품, 전산",,산소,
120,에어컨가스 회수충전기 구매,SCF,해군군수사령부,에어컨,,가스,
121,드럼세탁기 6개 구매,SCR,해군제3함대사령부,세탁기,,드럼,
122,정품 전산소모품 구매,MHD,방위사업청(운영지원과),"소모품, 전산",,산소,
123,'21년 전산소모품 구매,LQP,제1891부대,"소모품, 전산",,산소,
124,그리스 와이어로프 노출기어용 등 2종,SCR,해군제3함대사령부,로프,,그리스,
125,00부대 인쇄잉크 및 드럼 등 구매,DSS,국군제1068부대,인쇄,,드럼,
126,21-23 압축가스 실린더용 트레일러,HDG,공군제10전투비행단,실린더,,가스,
127,장비운영소모품-의료용 가스(액체산소 등 6종) 구매,MDJ,국군대전병원,소모품,,"가스, 산소",
128,하론소화약제가스 구매,LDH,육군종합정비창,소화,,가스,
129,"장비운영소모품-뇨,혈액,혈액가스(Stomatolyser-IM등)",MDJ,국군대전병원,소모품,,가스,
130,"장비운영소모품-뇨,혈액,혈액가스(Stomatolyser-IM등)",MDJ,국군대전병원,소모품,,가스,
131,"장비운영소모품-뇨,혈액,혈액가스(Stomatolyser-IM등)",MDJ,국군대전병원,소모품,,가스,
132,"장비운영소모품-뇨,혈액,혈액가스(Stomatolyser-IM등)",MDJ,국군대전병원,소모품,,가스,
133,22년 전산소모품 추가 구매(3차),MCK,국방전산정보원,"소모품, 전산",,산소,
134,22년 하반기 전산소모품 구매,MCK,국방전산정보원,"소모품, 전산",,산소,
135,에어컨가스 회수충전기 1EA 구매,SCF,해군군수사령부,에어컨,,가스,
136,22-7차 전산소모품 구매,LDH,육군종합정비창,"소모품, 전산",,산소,
137,혈액가스분석기 병리장비운영소모품(13) 구매계약,MDD,국군수도병원,소모품,,가스,
138,에어컨가스회수충전기 구매,SCF,해군군수사령부,에어컨,,가스,
139,그리스 와이어로프-노출기어용 등 2종,SCR,해군제3함대사령부,로프,,그리스,
140,(227108-D) 전산소모품(프린터 토너 등 4종) 구매,UMM,국군재정관리단,"소모품, 전산, 토너, 프린터",,산소,
141,정보통신운영지원 전산소모품 구매,LKT,제1989부대,"소모품, 전산",,산소,
142,22-1차 전산소모품 구매,LDH,육군종합정비창,"소모품, 전산",,산소,
143,22-1차 일반비품(가스레인지) 구매,MDG,국군의무사령부,비품,,가스,
144,병리장비운영소모품(4) 가스포화도검사33품목 구매,MDD,국군수도병원,소모품,,가스,
145,2022년 혈액가스검사 병리장비운영소모품(13) 구매,MDD,국군수도병원,소모품,,가스,
146,국방전산정보원 전산소모품 통합 구매,MCK,국방전산정보원,"소모품, 전산",,산소,
147,23-해병-전산소모품 구매,SFC,제9691부대,"소모품, 전산",,산소,
148,23-277-2 드럼세탁기 등 4종,HCL,공군사관학교,세탁기,,드럼,
149,"마개, 압축 가스 실린더 16점 구매",SCI,제9121부대,실린더,,가스,
150,23-3차 전산소모품 구매,LDH,육군종합정비창,"소모품, 전산",,산소,
151,23-디지털인쇄기 드럼 등 2종 구매,HCG,공군본부,인쇄,,드럼,
152,(화공) 하론소화약제가스 구매,LDH,육군종합정비창,소화,,가스,
153,(화공) 하론소화약제가스 구매,LDH,육군종합정비창,소화,,가스,
154,(화공) 하론소화약제가스 구매,LDH,육군종합정비창,소화,,가스,
155,(화공) 하론소화약제가스 구매,LDH,육군종합정비창,소화,,가스,
156,(화공) 하론소화약제가스 구매,LDH,육군종합정비창,소화,,가스,
157,(236270-B) 전산소모품(토너) 구매,UMM,국군재정관리단,"소모품, 전산, 토너",,산소,
158,23-2차 전산소모품 구매,LDH,육군종합정비창,"소모품, 전산",,산소,
159,에어컨 가스 회수 충전기 3EA 구매,SCF,해군군수사령부,에어컨,,가스,
160,(화공) 하론소화약제가스 구매,LDH,육군종합정비창,소화,,가스,
161,(화공) 하론소화약제가스 구매,LDH,육군종합정비창,소화,,가스,
162,(화공) 하론소화약제가스 구매,LDH,육군종합정비창,소화,,가스,
163,(화공) 하론소화약제가스 구매,LDH,육군종합정비창,소화,,가스,
164,(화공) 하론소화약제가스 구매,LDH,육군종합정비창,소화,,가스,
165,[23-003] 부대비품(가스오븐기 등 13종) 구매,UHD,공군 작사예하 방포사예하 제3여단,"부대비품, 비품",,가스,
166,'23년 전산소모품 구매(2차)(재안내공고),MCK,국방전산정보원,"소모품, 전산",,산소,
167,23-2차 정보통신운영지원 전산소모품 구매,LKT,제1989부대,"소모품, 전산",,산소,
168,"마개, 압축가스 실린더용 2종 구매",SCI,제9121부대,실린더,,가스,
169,23-1차 전산소모품 구매,LDH,육군종합정비창,"소모품, 전산",,산소,
170,'24년 후반기 전산소모품 통합구매,MCK,국방전산정보원,"소모품, 전산",,산소,
